Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Gómez-Laberge, Camille; Adler, Andy; ",Direct EIT Jacobian calculations for conductivity change and electrode movement,Physiological measurement,29,6,S89,2008,IOP Publishing
"Becerra-García, Roberto Antonio; ",Technology for processing saccadic electrooculograms in people with Spinocerebellar Ataxia type 2,,,,,2022,UMA Editorial
